10.9.0.11 N; 5443074756350403/140737488355328,0/1,0/1; W; 3180569347874011/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.12 N; 5443074756350403/140737488355328,0/1,0/1; W; 6361138077584981/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.13 N; 5443074756350403/140737488355328,0/1,0/1; W; 1590284364855485/17592186044416,0/1,0/1; 0; 604/1; 2
10.9.0.14 N; 5443074756350403/140737488355328,0/1,0/1; W; 6361136841258899/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.15 N; 5443074756350403/140737488355328,0/1,0/1; W; 3180568111547929/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.16 N; 5443074756350403/140737488355328,0/1,0/1; W; 6361135604932817/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.17 N; 5443074305088689/140737488355328,0/1,0/1; W; 6361138695748021/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.18 N; 5443074305088689/140737488355328,0/1,0/1; W; 1590284519396245/17592186044416,0/1,0/1; 0; 604/1; 2
10.9.0.19 N; 5443074305088689/140737488355328,0/1,0/1; W; 6361137459421939/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.20 N; 5443074305088689/140737488355328,0/1,0/1; W; 3180568420629449/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.21 N; 5443074305088689/140737488355328,0/1,0/1; W; 6361136223095857/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.22 N; 5443074305088689/140737488355328,0/1,0/1; W; 6361135604932815/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.23 N; 1360768463456739/35184372088832,0/1,0/1; W; 1590284673937005/17592186044416,0/1,0/1; 0; 604/1; 2
10.9.0.24 N; 1360768463456739/35184372088832,0/1,0/1; W; 3180569038792489/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.25 N; 1360768463456739/35184372088832,0/1,0/1; W; 3180568729710969/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.26 N; 1360768463456739/35184372088832,0/1,0/1; W; 6361136841258897/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.27 N; 1360768463456739/35184372088832,0/1,0/1; W; 6361136223095855/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.28 N; 1360768463456739/35184372088832,0/1,0/1; W; 6361135604932815/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.29 N; 2721536701282601/70368744177664,0/1,0/1; W; 3180569347874009/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.30 N; 2721536701282601/70368744177664,0/1,0/1; W; 6361138077584977/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.31 N; 2721536701282601/70368744177664,0/1,0/1; W; 6361137459421937/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.32 N; 2721536701282601/70368744177664,0/1,0/1; W; 6361136841258895/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.33 N; 2721536701282601/70368744177664,0/1,0/1; W; 3180568111547927/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.34 N; 2721536701282601/70368744177664,0/1,0/1; W; 3180567802466407/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.35 N; 5443072951303429/140737488355328,0/1,0/1; W; 6361138695748017/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.36 N; 5443072951303429/140737488355328,0/1,0/1; W; 6361138077584977/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.37 N; 5443072951303429/140737488355328,0/1,0/1; W; 6361137459421935/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.38 N; 5443072951303429/140737488355328,0/1,0/1; W; 3180568420629447/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.39 N; 5443072951303429/140737488355328,0/1,0/1; W; 6361136223095853/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.40 N; 5443072951303429/140737488355328,0/1,0/1; W; 6361135604932813/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.41 N; 5443072500041635/140737488355328,0/1,0/1; W; 397571168484251/4398046511104,0/1,0/1; 0; 604/1; 2
10.9.0.42 N; 5443072500041635/140737488355328,0/1,0/1; W; 6361138077584975/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.43 N; 5443072500041635/140737488355328,0/1,0/1; W; 3180568729710967/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.44 N; 5443072500041635/140737488355328,0/1,0/1; W; 6361136841258893/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.45 N; 5443072500041635/140737488355328,0/1,0/1; W; 1590284055773963/17592186044416,0/1,0/1; 0; 604/1; 2
10.9.0.46 N; 5443072500041635/140737488355328,0/1,0/1; W; 6361135604932811/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.47 N; 1360768012194955/35184372088832,0/1,0/1; W; 6361138695748015/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.48 N; 1360768012194955/35184372088832,0/1,0/1; W; 3180569038792487/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.49 N; 1360768012194955/35184372088832,0/1,0/1; W; 6361137459421933/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.50 N; 1360768012194955/35184372088832,0/1,0/1; W; 1590284210314723/17592186044416,0/1,0/1; 0; 604/1; 2
10.9.0.51 N; 1360768012194955/35184372088832,0/1,0/1; W; 6361136223095851/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.52 N; 1360768012194955/35184372088832,0/1,0/1; W; 3180567802466405/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.53 N; 5443071597517987/140737488355328,0/1,0/1; W; 3180569347874007/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.54 N; 5443071597517987/140737488355328,0/1,0/1; W; 6361138077584973/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.55 N; 5443071597517987/140737488355328,0/1,0/1; W; 6361137459421931/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.56 N; 5443071597517987/140737488355328,0/1,0/1; W; 6361136841258891/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.57 N; 5443071597517987/140737488355328,0/1,0/1; W; 3180568111547925/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.58 N; 5443071597517987/140737488355328,0/1,0/1; W; 6361135604932809/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.59 N; 1360767786564033/35184372088832,0/1,0/1; W; 6361138695748013/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.60 N; 1360767786564033/35184372088832,0/1,0/1; W; 6361138077584971/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.61 N; 1360767786564033/35184372088832,0/1,0/1; W; 3180568729710965/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.62 N; 1360767786564033/35184372088832,0/1,0/1; W; 3180568420629445/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.63 N; 1360767786564033/35184372088832,0/1,0/1; W; 6361136223095849/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.64 N; 1360767786564033/35184372088832,0/1,0/1; W; 6361135604932807/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.65 N; 2721535347497129/70368744177664,0/1,0/1; W; 6361138695748011/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.66 N; 2721535347497129/70368744177664,0/1,0/1; W; 3180569038792485/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.67 N; 2721535347497129/70368744177664,0/1,0/1; W; 3180568729710965/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.68 N; 2721535347497129/70368744177664,0/1,0/1; W; 6361136841258889/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.69 N; 2721535347497129/70368744177664,0/1,0/1; W; 6361136223095847/70368744177664,0/1,0/1; 0; 604/1; 2
10.9.0.70 N; 2721535347497129/70368744177664,0/1,0/1; W; 3180567802466403/35184372088832,0/1,0/1; 0; 604/1; 2
10.9.0.71 N; 5443070243732361/140737488355328,0/1,0/1; W; 3180569347874005/35184372088832,0/1,0/1; 0; 604/1; 2
